vertex distance parent
0 0 -1
1 1 508
2 2 2261
3 2 1938
4 1 840
5 2 1920
6 2 2363
7 2 1948
8 1 740
9 2 2606
10 2 2604
11 2 2452
12 2 98
13 2 1864
14 2 177
15 2 2390
16 2 1940
17 2 2232
18 2 1801
19 2 2360
20 2 1966
21 2 261
22 2 2290
23 2 2599
24 2 160
25 2 266
26 2 1864
27 2 72
28 2 2129
29 2 2088
30 2 1915
31 2 2389
32 2 92
33 1 3975
34 1 599
35 2 1950
36 1 3501
37 2 2558
38 2 2171
39 2 225
40 2 2318
41 2 10
42 1 3968
43 2 2141
44 2 1778
45 2 2028
46 2 2075
47 2 261
48 1 645
49 2 2344
50 2 2091
51 9 2560
52 2 2147
53 2 2074
54 2 277
55 2 1622
56 2 2043
57 2 2644
58 1 1327
59 2 2554
60 2 2363
61 1 2987
62 2 286
63 2 1988
64 2 2439
65 2 2431
66 2 92
67 2 2020
68 2 2479
69 2 267
70 2 2510
71 2 2171
72 2 2554
73 2 314
74 2 336
75 2 1927
76 2 2033
77 2 2264
78 4 2915
79 2 283
80 1 473
81 2 2462
82 2 2206
83 2 2342
84 2 2544
85 2 2078
86 2 1474
87 2 2292
88 2 2190
89 2 2293
90 1 3558
91 1 3167
92 2 2315
93 2 19
94 2 2249
95 2 2413
96 2 72
97 2 261
98 2 12
99 2 140
100 2 60
101 2 327
102 2 2471
103 2 121
104 2 2008
105 2 253
106 2 2359
107 4 3806
108 1 3773
109 2 2589
110 1 2758
111 2 2025
112 2 129
113 2 2015
114 2 2156
115 2 2165
116 2 2086
117 2 1968
118 2 2452
119 2 2280
120 2 191
121 2 2198
122 2 204
123 2 286
124 1 2922
125 2 172
126 2 2603
127 1 3657
128 2 95
129 2 2369
130 2 2258
131 2 255
132 2 2058
133 2 1940
134 2 143
135 1 644
136 2 2652
137 2 2478
138 2 2086
139 1 3869
140 2 2060
141 2 45
142 2 242
143 2 1875
144 2 2466
145 1 3970
146 2 2032
147 2 3412
148 2 2432
149 2 2012
150 2 2148
151 2 2015
152 1 2991
153 2 1940
154 2 1518
155 1 2723
156 2 2656
157 1 3407
158 2 95
159 1 702
160 2 1372
161 2 136
162 2 92
163 2 2288
164 2 129
165 2 55
166 1 400
167 2 2249
168 2 2268
169 2 2542
170 2 87
171 1 1383
172 2 125
173 1 4032
174 2 140
175 2 1961
176 2 1987
177 2 2269
178 2 247
179 1 3899
180 2 253
181 1 731
182 2 235
183 2 253
